iter	Passed	Remaining
0	177	17596
1	203	9963
2	223	7216
3	237	5688
4	250	4762
5	263	4133
6	276	3680
7	289	3329
8	302	3063
9	315	2836
10	328	2656
11	341	2501
12	353	2363
13	366	2251
14	379	2149
15	392	2062
16	406	1985
17	420	1914
18	433	1846
19	446	1784
20	459	1727
21	471	1673
22	484	1623
23	497	1575
24	511	1533
25	525	1495
26	538	1456
27	553	1422
28	567	1388
29	579	1352
30	592	1318
31	606	1288
32	619	1258
33	632	1227
34	646	1200
35	659	1171
36	673	1147
37	686	1120
38	700	1095
39	714	1071
40	729	1050
41	742	1025
42	755	1001
43	768	978
44	782	956
45	796	935
46	809	913
47	823	892
48	836	871
49	850	850
50	863	830
51	876	809
52	890	789
53	904	770
54	917	750
55	930	731
56	943	711
57	957	693
58	969	673
59	982	655
60	996	636
61	1009	618
62	1024	601
63	1039	584
64	1053	567
65	1067	549
66	1081	532
67	1097	516
68	1112	500
69	1128	483
70	1142	466
71	1156	449
72	1171	433
73	1185	416
74	1198	399
75	1212	382
76	1226	366
77	1240	349
78	1254	333
79	1267	316
80	1282	300
81	1296	284
82	1310	268
83	1324	252
84	1338	236
85	1351	220
86	1365	203
87	1379	188
88	1393	172
89	1407	156
90	1421	140
91	1435	124
92	1462	110
93	1476	94
94	1491	78
95	1505	62
96	1517	46
97	1531	31
98	1544	15
99	1557	0
